종목,코드,시장,현재가,전일종가,등락률,거래량,현재가 업데이트시각,추천 근거,진입 전략,리스크
DH오토넥스,000300,KOSPI,4200,4200,0.0,0,2026-06-09T16:09:55,,,
노루홀딩스,000320,KOSPI,16900,17050,5.1,10009,2026-06-09T16:09:55,,,
노루홀딩스우,000325,KOSPI,27700,26850,-0.72,77,2026-06-09T16:09:55,,,
한화손해보험,000370,KOSPI,6450,6320,15.38,1878852,2026-06-09T16:09:55,,,
SP삼화,000390,KOSPI,6390,6320,4.58,194099,2026-06-09T16:09:55,,,
롯데손해보험,000400,KOSPI,1919,1854,8.66,449100,2026-06-09T16:09:55,,,
대원강업,000430,KOSPI,6000,5300,29.87,4513091,2026-06-09T16:09:55,,,
CR홀딩스,000480,KOSPI,4600,4605,0.99,82324,2026-06-09T16:09:55,,,
대동,000490,KOSPI,7340,7210,0.96,273938,2026-06-09T16:09:55,,,
가온전선,000500,KOSPI,322000,313000,12.59,46894,2026-06-09T16:09:55,,,
삼일제약,000520,KOSPI,7120,7010,5.33,80424,2026-06-09T16:09:55,,,
흥국화재,000540,KOSPI,3630,3575,9.17,377772,2026-06-09T16:09:55,,,
흥국화재우,000545,KOSPI,6100,6100,6.83,4816,2026-06-09T16:09:55,,,
CS홀딩스,000590,KOSPI,69000,71000,0.88,271,2026-06-09T16:09:55,,,
동아쏘시오홀딩스,000640,KOSPI,83200,82600,2.97,14666,2026-06-09T16:09:55,,,
천일고속,000650,KOSPI,199500,192000,-3.16,15509,2026-06-09T16:09:55,,,
SK하이닉스,000660,KOSPI,2215000,2048000,15.91,5878039,2026-06-09T16:09:55,"HBM 메모리 공급 부족 심화, 1분기 이익률 72% 유지 기대","5일선 상향 시 매수, 목표가 148,000원",반도체 경기 변화 리스크
영풍,000670,KOSPI,46250,45550,2.66,54176,2026-06-09T16:09:55,,,
LS네트웍스,000680,KOSPI,3070,3095,4.42,263728,2026-06-09T16:09:55,,,
유수홀딩스,000700,KOSPI,5460,5590,4.4,49206,2026-06-09T16:09:55,,,
현대건설,000720,KOSPI,122300,130300,4.98,633184,2026-06-09T16:09:55,,,
현대건설우,000725,KOSPI,52900,53500,4.13,5373,2026-06-09T16:09:55,,,
이화산업,000760,KOSPI,12380,12240,-0.96,4070,2026-06-09T16:09:55,,,
삼성화재,000810,KOSPI,655000,616000,-2.24,224520,2026-06-09T16:09:55,자동차 보험 증가로 손보 수익 개선,보험주 강세 시 매수,금리 인상에 따른 손실
삼성화재우,000815,KOSPI,407500,401500,1.75,16608,2026-06-09T16:09:55,,,
화천기공,000850,KOSPI,31700,32100,2.26,14765,2026-06-09T16:09:55,,,
강남제비스코,000860,KOSPI,12930,12800,6.86,44799,2026-06-09T16:09:55,,,
한화,000880,KOSPI,115800,119200,1.76,248032,2026-06-09T16:09:55,,,
한화3우B,000088,KOSPI,0,40200,0.0,0,,,,
보해양조,000890,KOSPI,1274,1295,1.35,43235,2026-06-09T16:09:55,,,
유니온,000910,KOSPI,3100,3055,1.81,46235,2026-06-09T16:09:55,,,
전방,000950,KOSPI,27050,26850,2.85,911,2026-06-09T16:09:55,,,
한국주철관,000970,KOSPI,6700,6650,2.76,47155,2026-06-09T16:09:55,,,
DB하이텍,000990,KOSPI,170300,153700,7.24,456343,2026-06-09T16:09:55,,,
페이퍼코리아,001020,KOSPI,2355,2230,12.14,62330,2026-06-09T16:09:55,,,
CJ,001040,KOSPI,179800,170200,6.83,219823,2026-06-09T16:09:55,,,
CJ우,001045,KOSPI,76200,73400,2.7,6157,2026-06-09T16:09:55,,,
CJ4우(전환),000104,KOSPI,0,157800,0.0,0,,,,
JW중외제약,001060,KOSPI,26100,26350,6.75,52533,2026-06-09T16:09:55,,,
JW중외제약우,001065,KOSPI,21450,21200,-2.5,317,2026-06-09T16:09:55,,,
JW중외제약2우B,001067,KOSPI,45950,45450,0.44,1,2026-06-09T16:09:55,,,
대한방직,001070,KOSPI,5720,5660,3.62,8899,2026-06-09T16:09:55,,,
만호제강,001080,KOSPI,4710,4420,6.32,377821,2026-06-09T16:09:55,,,
LX인터내셔널,001120,KOSPI,38800,38500,2.51,156773,2026-06-09T16:09:55,,,
대한제분,001130,KOSPI,11550,11510,3.4,24578,2026-06-09T16:09:55,,,
유진투자증권,001200,KOSPI,4510,4415,7.25,892790,2026-06-09T16:09:55,,,
금호전기,001210,KOSPI,494,490,0.41,969236,2026-06-09T16:09:55,,,
동국홀딩스,001230,KOSPI,1828,1803,7.47,1150257,2026-06-09T16:09:55,,,
GS글로벌,001250,KOSPI,2895,2945,2.84,996336,2026-06-09T16:09:55,,,
남광토건,001260,KOSPI,7320,7230,4.27,10241,2026-06-09T16:09:55,,,
부국증권,001270,KOSPI,60100,56900,7.32,11239,2026-06-09T16:09:55,,,
부국증권우,001275,KOSPI,31100,30950,1.8,1309,2026-06-09T16:09:55,,,
상상인증권,001290,KOSPI,924,900,5.0,249837,2026-06-09T16:09:55,,,
PKC,001340,KOSPI,5510,5470,2.04,336685,2026-06-09T16:09:55,,,
삼성제약,001360,KOSPI,1347,1335,3.46,545323,2026-06-09T16:09:55,,,
SG글로벌,001380,KOSPI,1458,1417,-1.42,57994,2026-06-09T16:09:55,,,
KG케미칼,001390,KOSPI,4370,4475,6.33,280318,2026-06-09T16:09:55,,,
RISE 미국은행TOP10,000130,KOSPI,0,13005,0.0,0,,,,
태원물산,001420,KOSPI,2130,2175,2.4,5264,2026-06-09T16:09:55,,,
세아베스틸지주,001430,KOSPI,45850,46150,3.03,181563,2026-06-09T16:09:55,,,
대한전선,001440,KOSPI,38700,37450,3.89,3734825,2026-06-09T16:09:55,,,
현대해상,001450,KOSPI,36900,37550,7.89,702858,2026-06-09T16:09:55,,,
BYC,001460,KOSPI,35800,36350,5.76,4632,2026-06-09T16:09:55,,,
BYC우,001465,KOSPI,24750,24900,4.65,1330,2026-06-09T16:09:55,,,
삼부토건,001470,KOSPI,347,347,0.0,0,2026-06-09T16:09:55,,,
현대차증권,001500,KOSPI,9060,8820,5.47,187510,2026-06-09T16:09:55,,,
SK증권,001510,KOSPI,2985,2870,4.55,6509816,2026-06-09T16:09:55,,,
SK증권우,001515,KOSPI,5100,4950,2.0,16330,2026-06-09T16:09:55,,,
동양,001520,KOSPI,549,573,-3.35,3791898,2026-06-09T16:09:55,,,
동양우,001525,KOSPI,4600,4515,2.0,3926,2026-06-09T16:09:55,,,
동양2우B,001527,KOSPI,7180,7010,0.0,209,2026-06-09T16:09:55,,,
DI동일,001530,KOSPI,22300,22550,4.45,88064,2026-06-09T16:09:55,,,
조비,001550,KOSPI,10300,10280,2.79,32544,2026-06-09T16:09:55,,,
제일연마,001560,KOSPI,9640,9820,2.34,1538,2026-06-09T16:09:55,,,
금양,001570,KOSPI,9900,9900,0.0,0,2026-06-09T16:09:55,,,
케이비아이동국실업,001620,KOSPI,2415,2315,7.57,123315,2026-06-09T16:09:55,,,
종근당홀딩스,001630,KOSPI,40650,41250,0.25,10250,2026-06-09T16:09:55,,,
대상,001680,KOSPI,18090,17920,1.69,69217,2026-06-09T16:09:55,,,
대상우,001685,KOSPI,14540,14340,0.35,8572,2026-06-09T16:09:55,,,
SOL 중단기회사채(A-,000160,KOSPI,0,50980,0.0,0,,,,
신영증권,001720,KOSPI,171400,168200,2.7,20387,2026-06-09T16:09:55,,,
SK네트웍스,001740,KOSPI,14290,12950,0.85,54362802,2026-06-09T16:09:55,,,
한양증권,001750,KOSPI,21900,22100,4.04,16159,2026-06-09T16:09:55,,,
한양증권우,001755,KOSPI,22200,22250,-0.45,845,2026-06-09T16:09:55,,,
SHD,001770,KOSPI,13060,12900,-0.31,462,2026-06-09T16:09:55,,,
알루코,001780,KOSPI,1984,1938,3.33,701213,2026-06-09T16:09:55,,,
대한제당,001790,KOSPI,2425,2420,2.11,122340,2026-06-09T16:09:55,,,
대한제당우,001795,KOSPI,2120,2090,0.71,13998,2026-06-09T16:09:55,,,
1Q 종합채권(AA-이상),000170,KOSPI,0,93900,0.0,0,,,,
오리온홀딩스,001800,KOSPI,25300,25300,4.12,128140,2026-06-09T16:09:55,AI 보안 카메라 납품 2배 이상 증가,보안 강세 시 매수,정부 정책 변화
삼화콘덴서,001820,KOSPI,118500,109600,8.52,897681,2026-06-09T16:09:55,,,
KISCO홀딩스,001940,KOSPI,21200,23500,1.68,2778,2026-06-09T16:09:55,,,
TIME 미국나스닥100채,000190,KOSPI,0,14145,0.0,0,,,,
코오롱,002020,KOSPI,47600,48100,7.81,133732,2026-06-09T16:09:55,,,
코오롱우,002025,KOSPI,23150,23000,1.09,4889,2026-06-09T16:09:55,,,
아세아,002030,KOSPI,172500,177000,-0.75,5836,2026-06-09T16:09:55,,,
비비안,002070,KOSPI,6780,6810,-5.57,21727,2026-06-09T16:09:55,,,
KoAct 글로벌양자컴퓨,000200,KOSPI,0,27530,0.0,0,,,,
경농,002100,KOSPI,9000,9000,1.01,29528,2026-06-09T16:09:55,,,
고려산업,002140,KOSPI,1928,1906,1.9,80852,2026-06-09T16:09:55,,,
도화엔지니어링,002150,KOSPI,5150,5070,2.18,38933,2026-06-09T16:09:55,,,
SYTS,002170,KOSPI,49650,49550,0.4,1389,2026-06-09T16:09:55,,,
한국수출포장,002200,KOSPI,2555,2505,-3.58,77704,2026-06-09T16:09:55,,,
동성제약,002210,KOSPI,973,973,0.0,0,2026-06-09T16:09:55,,,
한일철강,002220,KOSPI,5680,5870,7.78,584594,2026-06-09T16:09:55,,,
고려제강,002240,KOSPI,18590,18330,3.91,22686,2026-06-09T16:09:55,,,
아세아제지,002310,KOSPI,7250,7360,3.57,133513,2026-06-09T16:09:55,,,
한진,002320,KOSPI,16050,16000,2.88,24466,2026-06-09T16:09:55,,,
넥센타이어,002350,KOSPI,7040,6920,6.18,317788,2026-06-09T16:09:55,,,
넥센타이어1우B,002355,KOSPI,3990,3955,2.7,12485,2026-06-09T16:09:55,,,
SH에너지화학,002360,KOSPI,1943,1948,2.7,72483,2026-06-09T16:09:55,,,
KCC,002380,KOSPI,498000,488500,2.05,31693,2026-06-09T16:09:55,,,
한독,002390,KOSPI,7700,7830,1.32,10302,2026-06-09T16:09:55,,,
범양건영,002410,KOSPI,1935,1935,0.0,0,2026-06-09T16:09:55,,,
세기상사,002420,KOSPI,5260,5300,0.0,79086,2026-06-09T16:09:55,,,
삼익악기,002450,KOSPI,1289,1266,3.12,456770,2026-06-09T16:09:55,,,
HS화성,002460,KOSPI,10190,10150,0.89,15974,2026-06-09T16:09:55,,,
TIGER TDF2045 적격,000250,KOSPI,242500,12560,1.46,318212,2026-06-09T16:09:55,,,
조흥,002600,KOSPI,135900,136200,0.22,65,2026-06-09T16:09:55,,,
제일파마홀딩스,002620,KOSPI,7150,6990,-2.19,8337,2026-06-09T16:09:55,,,
오리엔트바이오,002630,KOSPI,783,857,-18.94,1165410,2026-06-09T16:09:55,,,
동일제강,002690,KOSPI,1330,1318,-0.45,82534,2026-06-09T16:09:55,,,
KODEX 미국S&P500버퍼,000260,KOSPI,0,12400,0.0,0,,,,
신일전자,002700,KOSPI,1151,1138,2.31,481101,2026-06-09T16:09:55,,,
TCC스틸,002710,KOSPI,11990,11950,3.1,107611,2026-06-09T16:09:55,,,
국제약품,002720,KOSPI,3320,3400,3.75,61487,2026-06-09T16:09:55,,,
보락,002760,KOSPI,936,912,7.96,171034,2026-06-09T16:09:55,,,
진흥기업,002780,KOSPI,909,885,6.32,1180616,2026-06-09T16:09:55,,,
진흥기업우B,002785,KOSPI,3060,2960,-3.62,396,2026-06-09T16:09:55,,,
진흥기업2우B,002787,KOSPI,8000,8030,2.3,126,2026-06-09T16:09:55,,,
아모레퍼시픽홀딩스,002790,KOSPI,22750,23150,6.56,185418,2026-06-09T16:09:55,,,
아모레퍼시픽홀딩스우,002795,KOSPI,10460,10480,3.16,16411,2026-06-09T16:09:55,,,
아모레퍼시픽홀딩스3,000279,KOSPI,0,19900,0.0,0,,,,
삼영무역,002810,KOSPI,21800,22050,3.32,22181,2026-06-09T16:09:55,,,
SUN&L,002820,KOSPI,1973,1945,-0.1,37511,2026-06-09T16:09:55,,,
미원상사,002840,KOSPI,116000,119200,-1.28,4784,2026-06-09T16:09:55,,,
신풍,002870,KOSPI,880,859,-4.14,180658,2026-06-09T16:09:55,,,
디와이에이,002880,KOSPI,776,752,4.3,81902,2026-06-09T16:09:55,,,
KODEX 미국금융테크액,000280,KOSPI,0,11165,0.0,0,,,,
TYM,002900,KOSPI,6130,6000,3.9,314548,2026-06-09T16:09:55,,,
유성기업,002920,KOSPI,1661,1671,0.85,16374,2026-06-09T16:09:55,,,
한국쉘석유,002960,KOSPI,485500,492500,-0.21,929,2026-06-09T16:09:55,,,
금호건설,002990,KOSPI,3675,3710,1.52,132228,2026-06-09T16:09:55,,,
금호건설우,002995,KOSPI,11840,11780,2.78,3416,2026-06-09T16:09:55,,,
부광약품,003000,KOSPI,4225,4245,3.3,585617,2026-06-09T16:09:55,,,
혜인,003010,KOSPI,4885,4800,3.5,119157,2026-06-09T16:09:55,,,
세아제강지주,003030,KOSPI,133900,135600,-3.88,34086,2026-06-09T16:09:55,,,
에이프로젠바이오로직,003060,KOSPI,2610,2550,0.97,67007,2026-06-09T16:09:55,,,
코오롱글로벌,003070,KOSPI,8750,8660,1.74,16837,2026-06-09T16:09:55,,,
코오롱글로벌우,003075,KOSPI,12280,12130,4.07,648,2026-06-09T16:09:55,,,
SB성보,003080,KOSPI,2285,2210,5.3,126543,2026-06-09T16:09:55,,,
대웅,003090,KOSPI,16700,17090,0.54,66972,2026-06-09T16:09:55,,,
일성아이에스,003120,KOSPI,19240,19250,5.14,18842,2026-06-09T16:09:55,,,
디아이,003160,KOSPI,28050,27600,19.36,437981,2026-06-09T16:09:55,,,
일신방직,003200,KOSPI,10280,10630,6.86,34723,2026-06-09T16:09:55,,,
대원제약,003220,KOSPI,10540,9780,-15.0,830411,2026-06-09T16:09:55,,,
삼양식품,003230,KOSPI,1110000,1136000,3.84,47580,2026-06-09T16:09:55,,,
태광산업,003240,KOSPI,890000,905000,8.27,3214,2026-06-09T16:09:55,,,
흥아해운,003280,KOSPI,1880,1860,-0.69,5015376,2026-06-09T16:09:55,,,
한일홀딩스,003300,KOSPI,16090,16080,0.44,16402,2026-06-09T16:09:55,,,
한국화장품제조,003350,KOSPI,8340,8330,7.89,95602,2026-06-09T16:09:55,,,
유화증권,003460,KOSPI,3065,3050,6.61,80515,2026-06-09T16:09:55,,,
유화증권우,003465,KOSPI,2930,2890,4.64,2556,2026-06-09T16:09:55,,,
유안타증권,003470,KOSPI,4965,4835,5.75,601131,2026-06-09T16:09:55,,,
유안타증권우,003475,KOSPI,4030,4020,3.73,19138,2026-06-09T16:09:55,,,
한진중공업홀딩스,003480,KOSPI,4900,4810,4.48,43773,2026-06-09T16:09:55,,,
대한항공,003490,KOSPI,24850,25450,4.41,1827147,2026-06-09T16:09:55,,,
대한항공우,003495,KOSPI,21450,21500,0.0,2667,2026-06-09T16:09:55,,,
영진약품,003520,KOSPI,1242,1235,2.39,230235,2026-06-09T16:09:55,,,
한화투자증권,003530,KOSPI,5660,5440,5.2,1729164,2026-06-09T16:09:55,,,
한화투자증권우,003535,KOSPI,6550,6490,2.34,16475,2026-06-09T16:09:55,,,
대신증권,003540,KOSPI,29550,29000,6.29,96547,2026-06-09T16:09:55,,,
대신증권우,003545,KOSPI,20050,20000,3.46,60731,2026-06-09T16:09:55,,,
대신증권2우B,003547,KOSPI,19340,19340,2.17,28104,2026-06-09T16:09:55,,,
LG,003550,KOSPI,112600,108700,-1.14,1059543,2026-06-09T16:09:55,,,
LG우,003555,KOSPI,69800,68300,-0.57,29235,2026-06-09T16:09:55,,,
SNT다이내믹스,003570,KOSPI,39800,42300,-0.5,75848,2026-06-09T16:09:55,,,
HLB글로벌,003580,KOSPI,1485,1495,3.05,135394,2026-06-09T16:09:55,,,
PLUS 글로벌휴머노이,000350,KOSPI,0,22745,0.0,0,,,,
방림,003610,KOSPI,5150,5200,1.78,62762,2026-06-09T16:09:55,,,
KG모빌리티,003620,KOSPI,3150,3160,11.5,1221416,2026-06-09T16:09:55,,,
미창석유,003650,KOSPI,119600,119600,0.59,1732,2026-06-09T16:09:55,,,
포스코퓨처엠,003670,KOSPI,193000,187600,2.82,287081,2026-06-09T16:09:55,,,
한성기업,003680,KOSPI,4445,4435,3.86,11357,2026-06-09T16:09:55,,,
코리안리,003690,KOSPI,13440,13080,5.33,847785,2026-06-09T16:09:55,,,
TIME 미국배당다우존,000360,KOSPI,0,13280,0.0,0,,,,
삼영,003720,KOSPI,8360,8170,6.63,576974,2026-06-09T16:09:55,,,
진양산업,003780,KOSPI,5090,5230,8.18,287583,2026-06-09T16:09:55,,,
대한화섬,003830,KOSPI,113100,113500,1.43,249,2026-06-09T16:09:55,,,
보령,003850,KOSPI,8340,8250,5.3,229050,2026-06-09T16:09:55,,,
KODEX 미국휴머노이드,000380,KOSPI,0,17770,0.0,0,,,,
남양유업,003920,KOSPI,43850,42000,1.39,32101,2026-06-09T16:09:55,,,
남양유업우,003925,KOSPI,32500,33250,4.0,6160,2026-06-09T16:09:55,,,
사조대림,003960,KOSPI,26050,25400,4.2,7469,2026-06-09T16:09:55,,,
롯데정밀화학,004000,KOSPI,47000,46550,3.75,69877,2026-06-09T16:09:55,,,
현대제철,004020,KOSPI,33450,33250,0.45,741423,2026-06-09T16:09:55,,,
SG세계물산,004060,KOSPI,2890,2870,4.14,148914,2026-06-09T16:09:55,,,
신흥,004080,KOSPI,13690,13650,0.66,15416,2026-06-09T16:09:55,,,
한국석유,004090,KOSPI,11820,11930,-0.17,209125,2026-06-09T16:09:55,,,
태양금속,004100,KOSPI,3065,2915,8.11,4383500,2026-06-09T16:09:55,,,
태양금속우,004105,KOSPI,3710,3600,4.8,205236,2026-06-09T16:09:55,,,
동방,004140,KOSPI,1914,1883,2.9,282728,2026-06-09T16:09:55,,,
한솔홀딩스,004150,KOSPI,3545,3405,2.75,180091,2026-06-09T16:09:55,,,
신세계,004170,KOSPI,624000,685000,9.09,142971,2026-06-09T16:09:55,,,
KODEX 미국AI소프트웨,000410,KOSPI,0,13510,0.0,0,,,,
NPC,004250,KOSPI,2995,3140,3.28,40612,2026-06-09T16:09:55,,,
NPC우,004255,KOSPI,1993,2050,1.17,7243,2026-06-09T16:09:55,,,
남성,004270,KOSPI,7050,6940,-0.28,11840,2026-06-09T16:09:55,,,
현대약품,004310,KOSPI,5800,5590,5.26,279747,2026-06-09T16:09:55,,,
세방,004360,KOSPI,13050,13400,1.16,38639,2026-06-09T16:09:55,,,
세방우,004365,KOSPI,9350,9300,-0.43,4457,2026-06-09T16:09:55,,,
농심,004370,KOSPI,375000,362500,1.49,19570,2026-06-09T16:09:55,,,
삼익THK,004380,KOSPI,9000,8870,-2.17,145140,2026-06-09T16:09:55,,,
서울식품,004410,KOSPI,1010,1009,-0.98,384326,2026-06-09T16:09:55,,,
서울식품우,004415,KOSPI,7670,7270,-5.31,1800,2026-06-09T16:09:55,,,
송원산업,004430,KOSPI,10100,10160,5.98,138287,2026-06-09T16:09:55,,,
삼일씨엔에스,004440,KOSPI,4545,4640,2.83,19806,2026-06-09T16:09:55,,,
삼화왕관,004450,KOSPI,24800,24700,1.64,229,2026-06-09T16:09:55,,,
세방전지,004490,KOSPI,52000,52500,4.31,49490,2026-06-09T16:09:55,,,
깨끗한나라,004540,KOSPI,1621,1565,-0.06,53357,2026-06-09T16:09:55,,,
깨끗한나라우,004545,KOSPI,9480,8000,-0.21,55,2026-06-09T16:09:55,,,
현대비앤지스틸,004560,KOSPI,12590,12500,4.05,82268,2026-06-09T16:09:55,,,
삼천리,004690,KOSPI,119900,117100,2.3,9533,2026-06-09T16:09:55,,,
TIGER 미국초단기(3개,000460,KOSPI,0,10540,0.0,0,,,,
조광피혁,004700,KOSPI,61000,60800,0.83,4718,2026-06-09T16:09:55,,,
한솔테크닉스,004710,KOSPI,10620,10840,5.15,1788477,2026-06-09T16:09:55,,,
팜젠사이언스,004720,KOSPI,3090,3110,2.83,44556,2026-06-09T16:09:55,,,
써니전자,004770,KOSPI,1670,1630,5.16,221626,2026-06-09T16:09:55,,,
TIGER 차이나테크TOP1,000470,KOSPI,0,14945,0.0,0,,,,
효성,004800,KOSPI,175500,180500,3.78,32579,2026-06-09T16:09:55,,,
덕성,004830,KOSPI,3575,3530,4.23,74378,2026-06-09T16:09:55,,,
덕성우,004835,KOSPI,5250,5030,0.0,7122,2026-06-09T16:09:55,,,
DRB동일,004840,KOSPI,4280,4315,4.26,24019,2026-06-09T16:09:55,,,
티웨이홀딩스,004870,KOSPI,280,279,-1.06,7636920,2026-06-09T16:09:55,,,
동일산업,004890,KOSPI,35550,35800,-1.25,770,2026-06-09T16:09:55,,,
조광페인트,004910,KOSPI,3500,3400,3.24,27389,2026-06-09T16:09:55,,,
씨아이테크,004920,KOSPI,982,979,3.26,233642,2026-06-09T16:09:55,,,
한신공영,004960,KOSPI,10400,10070,3.17,44739,2026-06-09T16:09:55,,,
신라교역,004970,KOSPI,9130,9120,1.78,13503,2026-06-09T16:09:55,,,
성신양회,004980,KOSPI,8040,8020,1.77,102065,2026-06-09T16:09:55,,,
성신양회우,004985,KOSPI,10100,10140,0.1,3119,2026-06-09T16:09:55,,,
롯데지주,004990,KOSPI,26150,25700,8.28,324225,2026-06-09T16:09:55,,,
롯데지주우,000499,KOSPI,0,24100,0.0,0,,,,
휴스틸,005010,KOSPI,4600,4655,-1.29,475145,2026-06-09T16:09:55,,,
부산주공,005030,KOSPI,486,486,0.0,0,2026-06-09T16:09:55,,,
코스모신소재,005070,KOSPI,43000,41650,5.78,159375,2026-06-09T16:09:55,,,
SGC에너지,005090,KOSPI,50500,51500,8.14,149106,2026-06-09T16:09:55,,,
한창,005110,KOSPI,1254,1254,0.0,0,2026-06-09T16:09:55,,,
빙그레,005180,KOSPI,68200,67100,2.71,26084,2026-06-09T16:09:55,,,
KoAct 브로드컴밸류체,000510,KOSPI,0,26645,0.0,0,,,,
녹십자홀딩스,005250,KOSPI,9870,10180,1.96,222747,2026-06-09T16:09:55,,,
녹십자홀딩스2우,005257,KOSPI,20300,20150,-0.25,788,2026-06-09T16:09:55,,,
롯데칠성,005300,KOSPI,105000,102000,0.29,27530,2026-06-09T16:09:55,,,
롯데칠성우,005305,KOSPI,68500,68500,3.01,1596,2026-06-09T16:09:55,,,
온타이드,005320,KOSPI,1108,1109,3.94,220535,2026-06-09T16:09:55,,,
모나미,005360,KOSPI,1309,1310,2.03,20186,2026-06-09T16:09:55,,,
현대차,005380,KOSPI,639000,602000,0.0,1610713,2026-06-09T16:09:55,"수소차 누적 판매 50만대, 미래 먹거리 확보","230,000원 이상 시 매수",자동차 산업 정책 변화
현대차우,005385,KOSPI,246500,240000,3.79,96931,2026-06-09T16:09:55,,,
현대차2우B,005387,KOSPI,247500,238000,3.12,126487,2026-06-09T16:09:55,,,
현대차3우B,005389,KOSPI,237000,227500,3.04,14406,2026-06-09T16:09:55,,,
TIGER 차이나휴머노이,000530,KOSPI,0,12870,0.0,0,,,,
코스모화학,005420,KOSPI,11630,11440,7.19,164769,2026-06-09T16:09:55,,,
한국공항,005430,KOSPI,71200,73500,3.34,27841,2026-06-09T16:09:55,,,
현대지에프홀딩스,005440,KOSPI,13250,13170,10.14,285316,2026-06-09T16:09:55,,,
POSCO홀딩스,005490,KOSPI,364500,363000,1.53,503818,2026-06-09T16:09:55,차세대 전기강판 공급 확대로 자동차사 주문 급증,"80,000원 이상 강세 추종",철강 가격 변동성
삼진제약,005500,KOSPI,19200,18780,2.73,116908,2026-06-09T16:09:55,,,
삼립,005610,KOSPI,40600,39700,2.78,8383,2026-06-09T16:09:55,,,
삼영전자,005680,KOSPI,12580,12570,3.45,51233,2026-06-09T16:09:55,,,
파미셀,005690,KOSPI,13120,13300,8.97,592378,2026-06-09T16:09:55,,,
넥센,005720,KOSPI,6100,5940,4.81,49013,2026-06-09T16:09:55,,,
넥센우,005725,KOSPI,4300,4270,0.82,3189,2026-06-09T16:09:55,,,
크라운해태홀딩스,005740,KOSPI,5720,5610,1.42,41990,2026-06-09T16:09:55,,,
크라운해태홀딩스우,005745,KOSPI,6090,5940,-3.18,3932,2026-06-09T16:09:55,,,
대림바스,005750,KOSPI,4370,4370,2.58,36447,2026-06-09T16:09:55,,,
PLUS 미국S&P500미국,000570,KOSPI,0,12575,0.0,0,,,,
신영와코루,005800,KOSPI,13200,13220,0.23,1924,2026-06-09T16:09:55,,,
풍산홀딩스,005810,KOSPI,35800,35650,1.7,36671,2026-06-09T16:09:55,,,
원림,005820,KOSPI,13660,13710,-1.09,1123,2026-06-09T16:09:55,,,
DB손해보험,005830,KOSPI,143800,142500,5.58,439597,2026-06-09T16:09:55,,,
에스엘,005850,KOSPI,65200,63500,2.03,184770,2026-06-09T16:09:55,,,
휴니드,005870,KOSPI,5540,5500,1.65,85115,2026-06-09T16:09:55,,,
대한해운,005880,KOSPI,1937,1920,2.49,3351194,2026-06-09T16:09:55,,,
삼성전자,005930,KOSPI,322000,302500,8.97,30124249,2026-06-09T16:09:55,"GPU 메모리 공급 급증 수혜, 분기 실적 개선","280,000원 돌파 시 매수",글로벌 경제 둔화 리스크
삼성전자우,005935,KOSPI,203500,191500,5.71,5316432,2026-06-09T16:09:55,,,
